Retailer,Retailer ID,Invoice Date,Region,State,City,Gender Type,Product Category,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185742,"Tuesday, October 26, 2021",East,UP-East,Prayagraj,Men,Apparel,55,125,68750,24062.5,0.35,Outlet
Foot Locker,1185742,"Wednesday, October 27, 2021",East,UP-East,Prayagraj,Women,Apparel,45,225,101250,30375,0.3,Outlet
Foot Locker,1185742,"Thursday, October 28, 2021",East,UP-East,Prayagraj,Men,Street Footwear,45,475,213750,117562.5,0.55,Outlet
Foot Locker,1185742,"Friday, October 29, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,45,125,56250,19687.5,0.35,Outlet
Foot Locker,1185742,"Saturday, October 30, 2021",East,UP-East,Prayagraj,Women,Street Footwear,35,175,61250,24500,0.4,Outlet
Foot Locker,1185742,"Sunday, October 31, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,40,50,20000,8000,0.4,Outlet
Foot Locker,1185742,"Monday, November 1, 2021",East,UP-East,Prayagraj,Men,Apparel,55,125,68750,24062.5,0.35,Outlet
Foot Locker,1185742,"Tuesday, November 2, 2021",East,UP-East,Prayagraj,Women,Apparel,45,225,101250,30375,0.3,Outlet
Foot Locker,1185742,"Wednesday, November 3, 2021",East,UP-East,Prayagraj,Men,Street Footwear,50,445,222500,122375,0.55,Outlet
Foot Locker,1185742,"Thursday, November 4, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,50,150,75000,26250,0.35,Outlet
Foot Locker,1185742,"Friday, November 5, 2021",East,UP-East,Prayagraj,Women,Street Footwear,40,175,70000,28000,0.4,Outlet
Foot Locker,1185742,"Saturday, November 6, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,45,25,11250,4500,0.4,Outlet
Foot Locker,1185742,"Sunday, November 7, 2021",East,UP-East,Prayagraj,Men,Apparel,60,75,45000,13500,0.3,Outlet
Foot Locker,1185742,"Monday, November 8, 2021",East,UP-East,Prayagraj,Women,Apparel,50,175,87500,21875,0.25,Outlet
Foot Locker,1185742,"Tuesday, November 9, 2021",East,UP-East,Prayagraj,Men,Street Footwear,50,450,225000,112500,0.5,Outlet
Foot Locker,1185742,"Wednesday, November 10, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,50,150,75000,22500,0.3,Outlet
Foot Locker,1185742,"Thursday, November 11, 2021",East,UP-East,Prayagraj,Women,Street Footwear,40,150,60000,21000,0.35,Outlet
Foot Locker,1185742,"Friday, November 12, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,45,75,33750,11812.5,0.35,Outlet
Foot Locker,1185742,"Saturday, November 13, 2021",East,UP-East,Prayagraj,Men,Apparel,60,75,45000,13500,0.3,Outlet
Foot Locker,1185742,"Sunday, November 14, 2021",East,UP-East,Prayagraj,Women,Apparel,50,200,100000,25000,0.25,Outlet
Foot Locker,1185742,"Monday, November 15, 2021",East,UP-East,Prayagraj,Men,Street Footwear,60,470,282000,141000,0.5,Outlet
Foot Locker,1185742,"Tuesday, November 16, 2021",East,UP-East,Prayagraj,Men,Athletic Footwear,60,175,105000,31500,0.3,Outlet
Foot Locker,1185742,"Wednesday, November 17, 2021",East,UP-East,Prayagraj,Women,Street Footwear,55,150,82500,28875,0.35,Outlet
Foot Locker,1185742,"Thursday, November 18, 2021",East,UP-East,Prayagraj,Women,Athletic Footwear,55,100,55000,19250,0.35,Outlet
Foot Locker,1185742,"Friday, November 19, 2021",East,UP-East,Prayagraj,Men,Apparel,65,125,81250,24375,0.3,Outlet
Foot Locker,1185742,"Saturday, November 20, 2021",East,UP-East,Prayagraj,Women,Apparel,70,250,175000,52500,0.3,Outlet
